"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2","1","1","1","1","1","1","2","1","3","1","1","1","1","1","1","1","1","1","2","2","2","4","1","4","1","1","1","1","1","2","1","1","1","1","1","1","1","4","1","1"
"3","1","1","1","1","3","4","1","1","2","1","1","1","1","2","1","1","1","1","1","1","4","1","1","1","3","1","3","1","1","1","1","1","1","1","1","3","4","1","1","1"
"4","1","1","1","2","4","1","1","2","1","1","2","1","1","1","1","1","1","1","2","1","4","1","1","1","1","1","1","3","1","1","1","1","1","3","3","1","4","1","1","2"
"5","1","1","3","1","1","4","3","1","2","1","1","1","1","1","1","3","1","1","3","1","1","1","1","1","1","1","1","1","1","3","1","4","4","1","1","1","2","1","1","1"
"6","1","1","1","3","1","1","1","1","1","3","4","1","1","1","2","4","1","1","1","1","1","1","1","1","4","1","1","4","2","1","1","1","1","1","1","1","1","1","1","2"
"7","1","1","1","1","3","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","4"
"8","4","1","1","1","2","1","1","2","1","1","1","1","1","1","1","1","1","1","3","1","1","2","1","1","3","1","1","1","3","1","1","1","1","1","1","1","1","1","1","1"
"9","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1"
"10","1","1","1","1","1","1","2","1","1","1","3","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","3","1","1","1","1","2","1","1","1","1","1","1","1","3"
"11","1","2","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2"
"12","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1"
"13","4","1","1","4","2","1","1","2","1","1","1","1","4","1","1","2","1","1","2","3","4","1","1","1","1","1","1","1","1","1","4","1","1","1","4","1","4","4","3","1"
"14","1","1","2","1","1","1","2","4","3","4","2","1","1","1","4","1","1","1","3","2","1","1","1","3","4","1","1","1","1","4","1","3","1","1","1","1","1","1","1","4"
"15","4","3","4","4","1","3","3","4","3","2","2","1","1","1","3","2","3","1","2","4","3","3","1","1","3","3","1","4","2","1","3","4","3","1","1","1","3","4","1","1"
"16","4","1","1","1","1","3","1","1","1","1","1","1","1","1","4","3","1","1","1","3","4","1","1","3","1","1","1","1","1","1","1","1","1","1","4","1","1","1","1","3"
"17","1","1","1","1","1","1","1","1","4","2","2","1","1","1","1","3","1","1","1","1","4","4","1","1","1","1","3","1","3","2","4","1","1","1","4","1","1","1","4","1"
"18","1","1","1","2","4","1","2","1","1","1","1","4","2","1","2","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","2","2"
"19","1","4","3","1","1","4","3","2","1","3","4","1","1","1","2","1","4","3","1","1","3","4","1","4","1","3","4","1","1","4","4","2","1","4","3","3","1","1","1","3"
"20","1","1","1","2","1","2","1","1","1","1","1","2","1","1","2","1","1","1","1","3","1","1","1","1","1","3","2","1","1","1","1","1","1","1","1","4","3","3","4","4"
"21","3","1","1","1","1","1","1","3","1","1","3","1","3","3","1","1","2","1","1","1","4","4","1","1","4","1","4","1","4","4","1","1","3","2","1","1","2","4","2","1"
"22","1","1","2","1","1","1","1","1","2","1","3","1","1","1","1","1","1","1","1","2","4","1","3","1","2","3","1","1","1","1","1","1","2","1","1","4","1","1","3","3"
"23","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","4","1","1","1","1","1","1","2","4","1","4","1","1","1"
"24","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"25","2","4","1","1","1","2","4","1","4","3","1","2","1","1","1","4","1","1","3","1","1","1","1","2","2","1","1","1","1","1","1","3","1","1","4","1","1","4","1","1"
"26","1","2","2","4","1","4","1","1","2","4","3","1","2","1","3","4","4","1","1","1","1","2","1","1","4","2","4","3","1","1","2","1","1","3","4","1","2","4","2","1"
"27","1","3","1","3","1","1","2","1","1","1","1","2","1","1","2","1","1","1","1","3","3","1","4","1","1","1","1","1","1","1","1","2","3","4","1","2","2","3","1","1"
"28","1","2","3","1","1","4","3","1","3","1","1","1","3","1","4","3","1","1","1","2","4","1","4","1","1","1","1","4","1","1","2","1","1","1","3","1","3","1","3","1"
"29","1","1","1","1","3","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","1","2","1","1","1","1","1","1","1","4","1","1","1","1","1"
"30","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"31","3","1","1","1","1","2","3","3","1","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","3","1","3","1","1","1","3","4","1","2","1","1"
"32","1","1","1","1","1","4","1","2","1","3","1","4","1","1","4","2","1","2","3","3","2","2","4","1","1","1","3","1","3","4","2","1","4","3","3","1","1","4","2","1"
"33","1","1","2","1","1","4","1","1","4","1","1","1","1","2","4","1","1","1","4","1","1","1","1","1","1","1","2","1","1","1","1","1","2","1","3","3","2","3","1","1"
"34","4","2","1","1","1","1","2","4","3","1","4","1","1","1","4","1","1","2","3","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","3","1","1"
"35","4","1","1","1","4","1","1","1","1","1","1","1","2","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1"
"36","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","3","1","1","1","1","1","1","2","3","1","1","1","4","1","1","1","3"
"37","1","4","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","3","3","1","1","2","1","1","1","1","1","1","3","1","1","1","1","1","4","1","1"
"38","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","1","3","1","1","1","4","2","1","1","1","1","1","4","1","1","1","1","3"
"39","1","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","3","1","1","1","1","1","1","1","1","2","1","1","1","1","1","2","1","1","1","1","1","3","1"
"40","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","4","1","1","1","2","1"
"41","1","1","1","2","1","1","1","3","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1"
