"var1","var2","complete_case","mean_imputed","sd_imputed","lower_2.5","upper_97.5","difference","absolute_difference"
"REL","SB",0.233,-0.078,0.05,-0.173,0.012,-0.312,0.312
"PLA","REL",0.562,0.316,0.057,0.208,0.389,-0.246,0.246
"AC","REL",0.658,0.448,0.052,0.344,0.524,-0.21,0.21
"ACC","REL",0.207,0.018,0.062,-0.104,0.143,-0.19,0.19
"concern","SD",0.207,0.022,0.046,-0.06,0.097,-0.185,0.185
"SD","SB",0.196,0.022,0.046,-0.078,0.115,-0.174,0.174
"consequences","SD",0.13,-0.039,0.049,-0.114,0.046,-0.169,0.169
"emot_rep","SD",0.114,-0.041,0.037,-0.112,0.027,-0.155,0.155
"timeline","SD",0.043,-0.111,0.044,-0.201,-0.035,-0.154,0.154
"identity","SD",0.051,-0.102,0.045,-0.19,-0.032,-0.153,0.153
"timeline","REL",0.136,-0.015,0.043,-0.084,0.06,-0.151,0.151
"UIS","REL",0.353,0.208,0.047,0.152,0.304,-0.145,0.145
"PF","REL",0.327,0.182,0.041,0.098,0.238,-0.145,0.145
"SD","VEN",0.08,0.214,0.038,0.139,0.272,0.135,0.135
"identity","REL",0.026,-0.107,0.044,-0.185,-0.023,-0.133,0.133
"UES","REL",0.301,0.18,0.039,0.114,0.255,-0.121,0.121
"treat_control","SD",-0.159,-0.04,0.04,-0.106,0.032,0.119,0.119
"pers_control","SD",-0.105,0.011,0.045,-0.066,0.082,0.117,0.117
"HUM","REL",-0.012,0.101,0.049,0.015,0.19,0.113,0.113
"VEN","REL",0.247,0.138,0.05,0.037,0.245,-0.109,0.109
"SD","SU",0.332,0.225,0.041,0.169,0.289,-0.106,0.106
"consequences","REL",-0.064,-0.154,0.054,-0.257,-0.029,-0.09,0.09
"REL","HELP_SEEK",0.275,0.186,0.041,0.105,0.257,-0.089,0.089
"coherence","REL",0.23,0.141,0.05,0.052,0.254,-0.088,0.088
"SD","PLA",-0.052,0.036,0.042,-0.03,0.124,0.088,0.088
"emot_rep","REL",0.134,0.053,0.043,-0.041,0.134,-0.081,0.081
"pers_control","REL",0.005,0.086,0.049,0.011,0.174,0.081,0.081
"SD","ACC",0.203,0.122,0.038,0.04,0.179,-0.081,0.081
"REL","PSYCH_OPEN",-0.123,-0.043,0.043,-0.119,0.027,0.08,0.08
"DEN","REL",0.028,-0.041,0.039,-0.13,0.019,-0.069,0.069
"BD","REL",-0.349,-0.285,0.053,-0.41,-0.219,0.064,0.064
"SD","REL",0.195,0.14,0.063,0.009,0.259,-0.055,0.055
"coherence","SD",-0.072,-0.021,0.041,-0.114,0.037,0.051,0.051
"SD","PF",-0.035,0.012,0.042,-0.058,0.091,0.047,0.047
"SD","AC",0.183,0.224,0.042,0.119,0.287,0.041,0.041
"treat_control","REL",0.135,0.095,0.044,0.019,0.174,-0.04,0.04
"SD","HUM",0.263,0.226,0.039,0.165,0.295,-0.037,0.037
"concern","REL",-0.003,-0.038,0.038,-0.113,0.048,-0.035,0.035
"SD","BD",-0.15,-0.183,0.037,-0.251,-0.118,-0.034,0.034
"SD","HELP_SEEK",-0.085,-0.056,0.037,-0.126,0.01,0.029,0.029
"REL","STIG_INDIFF",0.031,0.06,0.038,-0.002,0.121,0.029,0.029
"SU","REL",0.087,0.111,0.037,0.05,0.177,0.025,0.025
"SD","UIS",0.013,0.026,0.034,-0.027,0.085,0.014,0.014
"SD","UES",0.116,0.103,0.038,0.014,0.159,-0.013,0.013
"SD","STIG_INDIFF",-0.034,-0.023,0.039,-0.087,0.039,0.011,0.011
"SD","DEN",-0.11,-0.1,0.038,-0.173,-0.027,0.01,0.01
"SD","PSYCH_OPEN",0.017,0.013,0.047,-0.061,0.1,-0.004,0.004
"consequences","timeline",0.227,0.227,0,0.227,0.227,0,0
"consequences","pers_control",-0.577,-0.577,0,-0.577,-0.577,0,0
"timeline","pers_control",-0.206,-0.206,0,-0.206,-0.206,0,0
"consequences","treat_control",-0.035,-0.035,0,-0.035,-0.035,0,0
"timeline","treat_control",-0.271,-0.271,0,-0.271,-0.271,0,0
"pers_control","treat_control",0.057,0.057,0,0.057,0.057,0,0
"consequences","identity",0.613,0.613,0,0.613,0.613,0,0
"timeline","identity",0.184,0.184,0,0.184,0.184,0,0
"pers_control","identity",-0.385,-0.385,0,-0.385,-0.385,0,0
"treat_control","identity",0.122,0.122,0,0.122,0.122,0,0
"consequences","concern",0.507,0.507,0,0.507,0.507,0,0
"timeline","concern",0.088,0.088,0,0.088,0.088,0,0
"pers_control","concern",-0.474,-0.474,0,-0.474,-0.474,0,0
"treat_control","concern",0.03,0.03,0,0.03,0.03,0,0
"identity","concern",0.353,0.353,0,0.353,0.353,0,0
"consequences","coherence",-0.261,-0.261,0,-0.261,-0.261,0,0
"timeline","coherence",-0.034,-0.034,0,-0.034,-0.034,0,0
"pers_control","coherence",0.242,0.242,0,0.242,0.242,0,0
"treat_control","coherence",0.11,0.11,0,0.11,0.11,0,0
"identity","coherence",-0.088,-0.088,0,-0.088,-0.088,0,0
"concern","coherence",-0.144,-0.144,0,-0.144,-0.144,0,0
"consequences","emot_rep",0.324,0.324,0,0.324,0.324,0,0
"timeline","emot_rep",0.133,0.133,0,0.133,0.133,0,0
"pers_control","emot_rep",-0.322,-0.322,0,-0.322,-0.322,0,0
"treat_control","emot_rep",0.216,0.216,0,0.216,0.216,0,0
"identity","emot_rep",0.362,0.362,0,0.362,0.362,0,0
"concern","emot_rep",0.579,0.579,0,0.579,0.579,0,0
"coherence","emot_rep",-0.033,-0.033,0,-0.033,-0.033,0,0
"consequences","AC",-0.16,-0.16,0,-0.16,-0.16,0,0
"timeline","AC",-0.093,-0.093,0,-0.093,-0.093,0,0
"pers_control","AC",0.04,0.04,0,0.04,0.04,0,0
"treat_control","AC",0.171,0.171,0,0.171,0.171,0,0
"identity","AC",-0.08,-0.08,0,-0.08,-0.08,0,0
"concern","AC",0.072,0.072,0,0.072,0.072,0,0
"coherence","AC",0.18,0.18,0,0.18,0.18,0,0
"emot_rep","AC",0.136,0.136,0,0.136,0.136,0,0
"consequences","DEN",0.343,0.343,0,0.343,0.343,0,0
"timeline","DEN",0.324,0.324,0,0.324,0.324,0,0
"pers_control","DEN",-0.335,-0.335,0,-0.335,-0.335,0,0
"treat_control","DEN",-0.177,-0.177,0,-0.177,-0.177,0,0
"identity","DEN",0.243,0.243,0,0.243,0.243,0,0
"concern","DEN",0.174,0.174,0,0.174,0.174,0,0
"coherence","DEN",-0.286,-0.286,0,-0.286,-0.286,0,0
"emot_rep","DEN",0.028,0.028,0,0.028,0.028,0,0
"AC","DEN",-0.101,-0.101,0,-0.101,-0.101,0,0
"consequences","SU",-0.047,-0.047,0,-0.047,-0.047,0,0
"timeline","SU",-0.024,-0.024,0,-0.024,-0.024,0,0
"pers_control","SU",0.1,0.1,0,0.1,0.1,0,0
"treat_control","SU",-0.1,-0.1,0,-0.1,-0.1,0,0
"identity","SU",-0.058,-0.058,0,-0.058,-0.058,0,0
"concern","SU",0.01,0.01,0,0.01,0.01,0,0
"coherence","SU",-0.098,-0.098,0,-0.098,-0.098,0,0
"emot_rep","SU",-0.107,-0.107,0,-0.107,-0.107,0,0
"AC","SU",-0.049,-0.049,0,-0.049,-0.049,0,0
"DEN","SU",-0.087,-0.087,0,-0.087,-0.087,0,0
"consequences","UES",-0.039,-0.039,0,-0.039,-0.039,0,0
